comment_content,comment_rating,comment_likes,,,,,,
"Badly Written and Ill Conceived Science Fiction with a Few Interesting Ideas


I'm not sure I read the same book as everyone else. This got lots of four and five star reviews here on Goodreads.

Plus, it's been nominated for both Hugo and Nebula awards.

As often happens, I'm not with the majority opinion here. I give it two stars.

I'm not sure if the problem was the translation, or the original text, or both. (Unfortunately I only have the audio for this, so I can't quote the text here).

But I found the writing wooden, the characters two-dimensional cartoonish stick figures, and the audio narration poor. Although most of the characters are academics or intellectuals, the most believable and interesting character turns out to be a coarse and apparently ignorant policeman, She Qiang (nicknamed ""Da Shi"").

Most of the characters are cold and unsympathetic. A few of them commit murders for which they seem entirely unremorseful. It's impossible to care about these people.

And there are many unbelievable plot developments. For example, Mike Evans, an environmentalist, conveniently inherits his billionaire father's money at just the right time in the plot. I won't say much more about this as it's a spoiler.

This might have been acceptable in the early years of science fiction, but now it just seems like a bad novel.

As for the science...I'm not a physicist, so I can't really discuss the physics. Evidently, the three body problem has been unsolved by physicists dating back to Newton. So this part has some scientific basis.

Also, the stuff about micro circuitry was interesting.

But I have worked with computers for many years. The ""human formation computer"" (a computer powered by trained soldiers with colored flags) seems a bit silly to me, although nothing is impossible. I doubt if millions of humans could achieve the required precision. Interestingly, a minor character in the book who is an executive in a software company says the same thing.

Also, the author seems preoccupied with social status. And science is held up as an object of worship.

Science and technology are important, but I don't think they should be a religion (which in some quarters they seem to have become).

Anyway, here's a brief summary.

As a young girl, Ye Wenjie, an astrophysicist, witnesses the killing of her father by Cultural Revolution fanatics.

She becomes an astrophysicist herself and is recruited for a secret Chinese science/military project, Red Coast. It's years before she learns the true purpose of the project.

Meanwhile, many intellectuals are playing a video game (which requires a haptic suit), called ""The Three Body Problem"". The main gamer character, Wang Miao, is a professor of physics specializing in nanotech.

It turns out the game and the Red Coast project are connected.

They both relate to extraterrestrial life.










Anyway, I won't say much more about the story. I don't want to spoil it.

If you liked , you might enjoy this. The focus is technology and science, with the prose, characters, and plot being entirely secondary to the ideas. 's was another book where the characters and plot were subordinate to the ideas, although I think it works much better as a novel than this does.

I didn't really care for Luke Daniels' audio narration either. His voice varied from leaden in some spots to over-excited in others. And when doing foreign accents, he either exaggerated them, or in some cases, got them wrong.

I'd say pass on this one, except that lots of others seem to love it.
Show more",2,"1,846",,,,,,
"I'm going to call it right now. Even though I only just finished book one, I'm certain The Three-Body Problem will go down as my favorite sci-fi series of all time.

This book blew my mind so thoroughly that it leaves only destruction in its wake. Where could Liu Cixin have possibly come up with all of these ideas and concepts? No wonder everyone says this is wildly imaginative. Even a single one of the ideas in here would have sufficed for a book of its own, but to put them all together into a single cohesive epic tale is absolutely jaw-dropping.

The pacing is relentless and the surprises just keep coming. In fact, it has more twists and turns than most mysteries and thrillers I've read. Not only is the story utterly riveting, but it's also insightful and thought-provoking, touching upon science, politics, philosophy, and history. I found myself glued to the pages. I wanted to inhale the story as fast as I could, but I had to slow myself down periodically to reread and fully absorb all that the book was trying to tell me.

This is my favorite type of science fiction, one that puts science front and center and unabashedly celebrates everything about it. There's no handwaving, no hocus pocus. Every point brought up is eventually explained via actual science in ways that made complete sense. And what ingenious explanations they are, sure to stun and amaze any reader.

I found the initial pages, set during the Cultural Revolution, to be enlightening. This was the defining event of my parents' generation, yet they hardly talk about it. How do you put into words the frenzy that overtook a whole country, such that science and learning were denounced, and friends turned on friends, neighbors turned on neighbors? It's like a fever burned through the population, and left famine, trauma, and destruction in its wake. This emotionally fraught experience influences all who went through it, including the characters in this book.

With translations, there's always the fear that some vital but intangible part of the story will be lost. And this is especially the case when the two languages in question do not share a common linguistic ancestor, so translating between them is not as simple as one-to-one. In the translator's notes at the end of the book, Ken Liu mentions that he was cognizant of this and tried hard to preserve not only the story, but also the cadence and feel of the Chinese language and culture in his translation. I think he did an excellent job.

One thing to note is that the official book blurb is quite short for this story, but in my opinion, even that gives away too much. This is a book best experienced blind, so if you're going to read it, don't look up anything about it ahead of time.

What a tremendous way to start the trilogy. My expectations for the remaining two books are sky high, and I'm assured by everyone I know who has already read them that they will be met and exceeded. I have no doubt only goodness awaits me.

~~~~~~~~~~~~

#2.
#3.


~~~~~~~~~~~~

✧ ✧ ✧
Show more",5,"1,517",,,,,,
"This entire review has been hidden because of spoilers.
Show full review",4,"1,040",,,,,,
"PUBLIC ANNOUNCEMENT

I just rated a book 5 stars.

Just read it.

**Update now that I've read the whole trilogy!**

This is now one of my all time favorite sci-fi series. The concepts are brilliant and I fear that I'll never find anything this mind-blowing.

With that said... the books are quite sexist (the first half of the first two books are quite slow and painful) but I still recommend them if you can stomach it.

They're incredibly science heavy but anyone interested in space and first contact with aliens needs to read this!

*After watching the show all I can say is... the characters were done so much better in it. Prepare yourself if you haven't read the books yet!*
Show more",5,"1,416",,,,,,
"I'm really waffling between whether to rate ""did not like it"" vs. ""it was okay"" -- I very, very rarely give out one stars, and it feels uncharitable because it was a book I wanted to like more than I did, and I want more diverse SF, but... no. I've consciously created a ""not my cup of tea"" shelf for this very book, however, because a lot of people seem to have liked it. Is this what hard SF is like? In which case, it reminds me of similar ""I am completely unable to get interested in this"" problems I had with Kim Stanley Robinson last year.

I actually started this book months ago, but wasn't feeling it after the first chapter and stopped. I picked it up again now, stubbornly ploughing through because of the Hugos, and I kept waiting for it to suddenly turn around and wow me, but... it never did. At the 80% mark, I was still waiting.

Learning more about the Chinese Cultural Revolution was fascinating, and I liked seeing its colossal effects on Ye, plus the feeling of 'science will save us' that permeates the society. Liu Cixin's imagination of an alien society was really good and unique (dehydrate! dehydrate!).

Da Shi is, hands-down, the best character of this entire book. I much rather wanted to read his tales of fighting crime, with his seedy, no-bullshit, 'I'm not a cop, but I'm a great cop' approach. He livened up every scene he was in! Instead, this was so much like reading a physics textbook.

That's about where my praise ends, because I prefer emotional character-driven plots with some action, whereas this is a science-driven impersonal plod. Who the hell is Wang, our protagonist? After one single scene with his wife and son (!), they literally disappear for the rest of the book, and I couldn't tell you what his personality is like. He's just the viewfinder through which we see information unfold -- and unfold it does, with just reams and reams of exposition and info-dumps.

The prose is dull. I didn't so much mind it being stilted, and the dialogue carrying the remnants of its original language (a conscious effort on the translator Ken Liu's part), but it's just a trudging plod. I highlighted a few more poetic passages that I really liked, but for the most part it leans more to clinical and dry.

I liked the virtual reality chapters, but after all that buildup, I feel like it just fizzles out and absolutely, literally, nothing has been accomplished by the end of the book. With where the plot goes, the entire book honestly just feels like a prologue for the sequel.

I feel like the Goodreads blurb was pretty awfully off-base, touting that it has ""the scope of and the commercial action of "". I... what??? There is literally ONE action scene, it occurs about 90% through the book, and the characters aren't actively involved, just watching on from afar. And while the alien world/society is interestingly-written, it is nowhere near the scope of Dune.

Without characters with real depth to get attached to, I just never got hooked into this book. Ye has so much potential, but I feel like she wasn't fleshed out enough either -- people's more interesting psychological choices are left unplumbed/unexplored, meaning that I'm left with behaviour that I don't really buy, that doesn't seem natural for a human to do. Specifically:


The chronology and pacing is all over the place, too, hopping back and forth in time and as characters tell each other rambling stories. It's slow and sedate and takes forever to get anywhere -- the blurb trumps up
, but even that doesn't happen in the book at all, and indeed,
, so what in the world is the point of this story?

I mean, I get the point. I get that it's about humans pitted against humans, and the divisive cracks that can tear us apart even without the physical presence of an Other.

But man, I just couldn't bring myself to care. I'm so sorry, Cixin. I wanted to love it.
Show more",1,486,,,,,,
"A scientist is drawn into a conspiracy involving a computer game and an old research station and extra-terrestrial life.

Translated from the original Chinese. I have to admit I read this book mostly because the way it's being talked about made me really uncomfortable. There's the contingent who want to treat it as some sort of referendum on the Chinese science fiction landscape, or Chinese literature in general, as it was a wildly successful bestseller there. Yeah, okay, tell you what – go take a look at this week's bestseller list and pick out the book we should translate into other languages for readers to judge as a referendum on all of American writing of that genre. I'll wait. And then there's the way the translator responded to criticism by making a lot of sweeping statements about Chinese writing that I have very little doubt, even in the absence of any personal expertise, are dubious at best. This book is occupying some weird space in reviewerland, is what I'm saying.

So I read it, and. Um. It's not very good. Flat characters, some shall we say eyebrow raising decisions regarding women, a lot of , etc. Which kind of figures, since if notions of can be translated, then this book is Chinese Tom Clancy. So . . . there you go.

It did intrigue me on behalf of other Chinese science fiction, though. The cultural context of this story – the asides about how communism impacted intellectual thought, for example – interested me more than anything else.

I generally have a pretty good nose for these things, though, and I smell movie deal, for what that's worth.
Show more",2,469,,,,,, 
"Comparing Cixin to Arthur C Clarke, as the press did, might be appropriate.

Reread 2022 with extended review

Hostility towards science ruins everything
Ignorance and especially ideology fueled hate against science, and especially scientists who were torchbearers of the unwanted, enemy ideology are a certain way to ruin your world domination plans. No matter if Catholic church, the Nazis with their weird physics ( infodump, no required reading, and uchronia overkill: if they wouldn´t have been antisemitic, but instead anti communism, anti American capitalism, anti Muslim, etc., they would possibly have had the correct science to first build nuclear bombs. Because many people at the Manhatten project would have stayed in Germany) or, in this case, the Chinese. As soon as one bans certain science and doesn´t allow research, degeneration sets in, and keeping pace with more enlightened competitors becomes impossible. Cixin shows the historic examples and contrasts them with near future science, showing how far we came in such a short period of time thanks to the rise of science, relativizing the depressing beginning.

Epic, flowery language, which is unusual for the genre
First, this seems more like an extremely well written, average nonfiction novel, because the science comes slowly (but boy, how it finally comes), and all the metaphors and character fused and focused exposition make one as interested in the characters as in the story itself, which is amazing for a genre that often prioritizes plot and worldbuilding over protagonists. Especially towards the second half and end, this acceleration leads to a culmination of both style and world that is a rare, exceptional enjoyment in the genre.

Unique ideas
I can´t really mention much without spoilers, but this work has some mindboggling, ingenious ideas I´ve hardly ever seen in other sci-fi works, not even close. It may be Cixins´technical background that made him finetune such pearls of the genre into his work and, if I got it right, even added some innuendos to Chinese history and military tactics, although I am far from sure und too unknowing to definitively confirm that conjecture.

Drawing a (big) history picture of ones´ country
Some other authors, I am too lazy and procrastinating to remember and name them here, did already use the real, alternative, future, alternative past, etc history of their countries to give great edutainment lectures of the sociocultural, epigenetic evolution and that it could have been completely different, often just decided by one improbable random event, a prodigy inventing or discovering something, or a lunatic hate preacher made god king, leader, or elected democratic president, whatever the difference is. ( Personal opinion: It´s not as if voting all few years and having a work environment that´s just slavery with extra steps, and sometimes even free social services in Europe at least still, speaks of true sociocultural evolution. See freaking end of history drivel. It´s just less inhumane and politically correct, but it stayed a de facto dictatorship.) That´s not just entertaining, but a great way to learn more about foreign cultures too, especially with the subtle criticism and satirizing element sci-fi loves to add to everything in general and which makes it the best genre of them all.

Maybe a bit too hard for the beginning and average sci-fi reader
One prone to the genre and used or even in some theoretical concepts will enjoy it, for others it might be a bit too much, especially because so many protagonists are scientists too to make the infodumpy technobabble Elysium more credible and better and easier to plot. Skimming and scanning the theoretical, as in other less hard sci-fi works, isn´t a solution in this case too, because everything is so interconnected that one won´t get the whole picture anymore without it.

Old perspective before reading the whole trilogy:
Can´t wait to see how the other parts are, especially regarding its outstanding role in the genre
What I´ve heard, Cixin did an amazing job in connecting the whole trilogy, especially regarding the scientific, main tropes fueling this new milestone of the genre. With other of my favorite genre authors, whose perfect deliveries I do already know and love, this wouldn´t be so exciting, but because of the special, fresh taste of this first piece of orgiastic sci-fi nerdgasm, I am so looking forward to reading the next parts as unprepared and curious as I could be. And, without being narcissistic (again), this means something.

New view after having been enlightened and proselytized to just believe in the almighty Flying Spaghetti Monster:
This trilogy owns close to everything just aspiring to be a big sci fi we´re so small in comparison moment. If you can handle this epic triple, you´ll begin a never ending love affair with the best genre to rule, vivisect, and cosmic body horror them all.

Tropes show how literature is conceptualized and created and which mixture of elements makes works and genres unique:
Show more",5,445,,,,,,
"Re-read 1/30/24:

I got my special hardcover out and took my sweet time reading this. It's a favorite, to be sure, and I knew it before I started it now.

I mean, sure, I'm reading it because the Netflix adaptation is coming out rather soon, but MOSTLY, I just want to enjoy the OMG WHAT DID I JUST READ moments all over again.

Hard SF is absolutely my thing. Good or even great Hard SF is just too much for my poor heart. Good thing I know how to dehydrate just before I'm utterly dead. I'll be sure to come back during another Stable Season.

And yes, I'm muahahahahahaing about what I know will come in the full trilogy. No spoilers, but wow.



Original Review:

From the opening, I was struck by how much history I didn't know about China's Cultural Revolution. It might be obvious to anyone growing up in those parts, of course, but I was almost lost in that story long before I saw that there was anything sci-fi about the novel. This is a good thing. It speaks of good writing.

And then things changed. I became a frog in a pot. Small hints accumulate, surrounded by mathematical problems both fundamental and curious.

And then the MC's sanity is questioned. It's an open question that both the reader and the character must answer.

And then I got an idea. I could easily make the argument that all scientists in this novel are actually Main Characters, and indeed, that theory only becomes crystal clear later in the novel. It was a delight.

The novel is full of scientist suicides, damn odd hallucinations, all the way to a fantastic virtual reality game that draws intellectuals from around the world before devolving into a suggestive epic space opera featuring some of the most interesting aliens I've read about in a LONG time.

The worldbuilding is top-knotch-squared.

The clever uses of technology are the true highlights of the novel, and I'm upset. Why? Because the translations and publications for the next two novels are still in the future. Why am I still upset? Because I can hardly find the other works for this great author.

A grandmaster of Chinese sci-fi? I can't deny the fact. And just because I can't compare to other science fiction masters of Chinese literature is a null point. I am already a fanboy. I'll be revelling in every work I can get my hands on.

This is a fantastic example of how great science fiction can be. Truly inspiring.

Update.

This novel now a Hugo Nominee for 2015 because of the translation and introduction into the English-speaking market. It is a last minute replacement for Marco Kloos's Lines of Departure that was bravely self-removed due to the Sad Puppy 3 controversy. It wasn't his fault, and he got caught up in some seriously not-cool BS with this year's Hugo. He should be treated like any other Hugo Nominee. With respect and awe for the accomplishment it is, even though he withdrew.

On the other hand, after finding out that Three Body Problem took his place, I have to admit that it couldn't have happened to a better novel. I loved this one. It was really fantastic and it had everything I like to see in seriously good fiction.

This one might truly be my top pick for the year. It might be the one I cast my ballot on. But first, I need to read a few more Nominees. I take this very seriously. We bring our levels of joy and dedication to the ideas we thrive on. Awards are only as good as we make them. I refuse to let the Hugo become a quagmire.

Let the best novel win!

Show more",5,410,,,,,,
"The Three-Body Problem was the best SF novel that I’ve read so far. Admittedly, I did not read a lot of them. However, I can recognize when I encounter a special gem and this one definitely is unique in its world building. Moreover, it is very well written (and translated) which, unfortunately, it is not always the case with SF novels, especially with the classics.

The first chapters take place in the Chinese Cultural revolution and I thought to be a harrowing experience which perfectly introduced the reader in the oppressive atmosphere of the time. I do not want to say too much of the plot because I believe it is better for each of you to explore it. I went in almost blindly and I appreciated the opportunity to discover by myself how the plot develops. What I can tell is that you will read an amazing blend of Chinese history, mythology, hard SCi-Fi and well crayoned characters. If I were to reveal anything I guess this quote from the first part of the novel is pretty suggestive.

“It was impossible to expect a moral awakening from humankind itself, just like it was impossible to expect humans to lift off the earth by pulling up on their own hair. To achieve moral awakening required a force outside the human race.”

The novel can be hard on science sometimes but the aspect did not lower my enjoyment, although I was overwhelmed by some explanations as my background is mostly economics. Despite some long science passages, the narration flows beautifully and I was not bored for one second.

I am looking forward to reading the next volume in the series and I hope it will not suffer from the 2nd books syndrome.

**********
Excellent! One of the best SF books I've read. Review to come.
Show more",5,372,,,,,,
"This is when using a few ""Expectations vs. Reality"" memes could have come in handy, actually. Because I remember that this book made quite a splash in the SFF world (netted a Hugo, actually) and the reviews from my very respected GR friends are overwhelmingly glowing.

So maybe I just read it wrong, whatever that means. But…



The story set-up was actually interesting, and there were some ideas that were worth exploring: the startling naivete of believers in a bright shiny idea, and the dangers of one person making decisions that affect the whole humanity, as well as implications of science breakdown. But it is the damn execution that ruined it for me.

Not only do things mostly- *just happen* to our main POV person (like those old 19th century novels where the protagonist serves just as our eyes into the story with not much agency and mostly observational powers) but there's a strange lack of emphasis on events and revelations that by all means should elicit any sort of strong response. It seems that the same amount of emotion is spent on a video game as there is on murders and possibility of alien invasion.

And the wooden, stilted, dry and choppy writing does not help.



Things are basically just chugging along from A to B to C with no drive behind it. At one point I said to my buddy reader that . And characters’ conclusions and motivations make ZERO logical sense to me besides that the plot needs them to think a certain way.

It's a detached monotony with an odd mechanistic cadence to it, and at times I was wondering why I am supposed to care when even the characters don't.



And then, close to the end, we get a sudden boatload of exposition with extra exposition on top, and my eyes rolled so hard I think I strained a muscle. It was almost as bad as a moustache-twirling villain explaining the plot at the end trope.

And in the end I realized I just didn’t care, and although this book is nothing but a prologue into a larger story, it seems, I really don’t care enough even to read the entire trilogy synopsis on Wikipedia.

At least the science bits were almost cool, although exceedingly dry.
————



——————

Also posted on .
Show more",2,363,,,,,,
